x=22.881327; y=0.371302; z=0.000000; qx=0.000000; qy=0.000000; qz=0.603047; qw=0.797706
x=22.783422; y=-0.317520; z=0.000000; qx=0.000000; qy=0.000000; qz=-0.532871; qw=0.846196
x=24.140095; y=5.931408; z=0.000000; qx=0.000000; qy=0.000000; qz=-0.715877; qw=0.698226
x=24.430130; y=6.070374; z=0.000000; qx=0.000000; qy=0.000000; qz=-0.023561; qw=0.999722
x=24.785686; y=-6.133909; z=0.000000; qx=0.000000; qy=0.000000; qz=0.713455; qw=0.700701
x=25.128887; y=-6.254765; z=0.000000; qx=0.000000; qy=0.000000; qz=0.010096; qw=0.999949
x=28.316223; y=-5.761799; z=0.000000; qx=0.000000; qy=0.000000; qz=-0.999605; qw=0.028100
x=27.795700; y=6.042487; z=0.000000; qx=0.000000; qy=0.000000; qz=-0.996771; qw=0.080295
x=31.505680; y=5.965648; z=0.000000; qx=0.000000; qy=0.000000; qz=-0.999207; qw=0.039810
x=32.312607; y=-5.915382; z=0.000000; qx=0.000000; qy=0.000000; qz=0.999965; qw=0.008416
x=35.897522; y=-5.731191; z=0.000000; qx=0.000000; qy=0.000000; qz=0.999965; qw=0.008416
x=35.818684; y=5.821118; z=0.000000; qx=0.000000; qy=0.000000; qz=-0.999936; qw=0.011310
x=36.793137; y=-0.380744; z=0.000000; qx=0.000000; qy=0.000000; qz=-0.999820; qw=0.018952
x=30.900679; y=-0.065778; z=0.000000; qx=0.000000; qy=0.000000; qz=-0.999709; qw=0.024143
x=31.326050; y=-0.432557; z=0.000000; qx=0.000000; qy=0.000000; qz=0.010095; qw=0.999949
x=31.091019; y=0.132405; z=0.000000; qx=0.000000; qy=0.000000; qz=0.999965; qw=0.008417
x=31.111549; y=-0.357023; z=0.000000; qx=0.000000; qy=0.000000; qz=-0.028010; qw=0.999608
x=30.991322; y=0.191623; z=0.000000; qx=0.000000; qy=0.000000; qz=0.999965; qw=0.008417
x=30.970161; y=-0.210795; z=0.000000; qx=0.000000; qy=0.000000; qz=-0.059921; qw=0.998203
x=26.923033; y=0.346418; z=0.000000; qx=0.000000; qy=0.000000; qz=-1.000000; qw=0.000355
x=27.147799; y=0.026169; z=0.000000; qx=0.000000; qy=0.000000; qz=0.011980; qw=0.999928
x=27.196751; y=0.370580; z=0.000000; qx=0.000000; qy=0.000000; qz=0.999175; qw=0.040618
x=37.851162; y=0.090529; z=0.000000; qx=0.000000; qy=0.000000; qz=-0.053721; qw=0.998556
