x=2.076972; y=6.333127; z=0.000000; qx=0.000000; qy=0.000000; qz=0.013491; qw=0.999909
x=3.560257; y=-6.499588; z=0.000000; qx=0.000000; qy=0.000000; qz=-0.014944; qw=0.999888
x=13.515984; y=-5.147904; z=0.000000; qx=0.000000; qy=0.000000; qz=0.947052; qw=0.321080
x=5.430554; y=3.696042; z=0.000000; qx=0.000000; qy=0.000000; qz=0.500806; qw=0.865560
x=8.244893; y=6.595999; z=0.000000; qx=0.000000; qy=0.000000; qz=0.029817; qw=0.999555
x=13.299070; y=6.280356; z=0.000000; qx=0.000000; qy=0.000000; qz=-0.702039; qw=0.712138
x=15.125771; y=-0.059875; z=0.000000; qx=0.000000; qy=0.000000; qz=0.017666; qw=0.999844
x=17.337368; y=3.170516; z=0.000000; qx=0.000000; qy=0.000000; qz=-0.008844; qw=0.999961
x=21.129810; y=3.191066; z=0.000000; qx=0.000000; qy=0.000000; qz=-0.709556; qw=0.704650
x=23.269333; y=-0.142888; z=0.000000; qx=0.000000; qy=0.000000; qz=0.012928; qw=0.999916
x=38.114754; y=0.144642; z=0.000000; qx=0.000000; qy=0.000000; qz=0.027750; qw=0.999615
